Country,Cases
Argentina,1
Australia,98
Austria,2
Belgium,1
Brazil,6
Canada,22
Chile,2
Colombia,2
Czech Republic,1
Ecuador,1
Estonia,1
European Union,57
France,11
Germany,6
International Court of Justice,1
India,9
Indonesia,1
Inter-American Court and Commission on Human Rights,3
Ireland,4
Japan,3
Kenya,1
Luxembourg,1
Mexico,1
Netherlands,2
New Zealand,18
Nigeria,1
Norway,1
OECD,6
Pakistan,4
Peru,1
Philippines,2
Poland,3
South Korea,1
South Africa,4
Spain,13
Sweden,1
Switzerland,2
Uganda,1
Ukraine,2
UN Committee on the Rights of the Child,1
UN Human Rights Committee,2
UN Framework Convention on Climate Change,10
United Kingdom,62
UN Special Rapporteurs,2
United States,1213
